,proto,service,id.resp_p,missed_bytes,version,cipher,curve,resumed,established,sni_matches_cert,secure_label
122,tcp,,443,0,1,1,1,1,1,1,1
123,tcp,,443,0,1,1,1,1,1,1,1
124,udp,dns,53,0,1,1,1,1,1,1,0
125,udp,dns,53,0,1,1,1,1,1,1,0
126,udp,dns,53,0,1,1,1,1,1,1,0
127,udp,dns,53,0,1,1,1,1,1,1,0
128,udp,dns,53,0,1,1,1,1,1,1,0
129,udp,dns,53,0,1,1,1,1,1,1,0
130,udp,dns,53,0,1,1,1,1,1,1,0
131,tcp,ssl,443,0,1,1,1,1,1,1,1
132,tcp,,9092,0,1,1,1,1,1,1,1
133,,,443,,0,1,1,1,1,1,0
134,udp,dns,53,0,1,1,1,1,1,1,0
135,udp,dns,53,0,1,1,1,1,1,1,0
136,udp,dns,53,0,1,1,1,1,1,1,0
137,tcp,ssl,443,25920,1,1,1,1,1,1,0
138,udp,dns,53,0,1,1,1,1,1,1,0
139,udp,dns,53,0,1,1,1,1,1,1,0
140,,,443,,0,1,1,1,1,1,0
141,udp,dns,53,0,1,1,1,1,1,1,0
142,udp,dns,53,0,1,1,1,1,1,1,0
143,udp,dns,53,0,1,1,1,1,1,1,0
144,udp,dns,53,0,1,1,1,1,1,1,0
145,udp,dns,53,0,1,1,1,1,1,1,0
146,udp,dns,53,0,1,1,1,1,1,1,0
147,udp,dns,53,0,1,1,1,1,1,1,0
148,udp,dns,53,0,1,1,1,1,1,1,0
149,udp,dns,53,0,1,1,1,1,1,1,0
150,udp,dns,53,0,1,1,1,1,1,1,0
151,udp,quic,443,0,1,1,1,1,1,1,1
152,tcp,ssl,443,0,1,1,1,1,1,1,1
153,udp,quic,443,0,1,1,1,1,1,1,1
154,,,443,,1,1,1,1,1,1,1
155,,,443,,0,1,0,1,1,1,0
156,udp,dns,53,0,1,1,1,1,1,1,0
157,udp,dns,53,0,1,1,1,1,1,1,0
158,udp,dns,53,0,1,1,1,1,1,1,0
159,udp,quic,443,0,1,1,1,1,1,1,1
160,,,443,,1,1,1,1,1,1,1
161,udp,dns,53,0,1,1,1,1,1,1,0
162,udp,dns,53,0,1,1,1,1,1,1,0
163,tcp,,9997,0,1,1,1,1,1,1,1
164,tcp,,9997,0,1,1,1,1,1,1,1
165,udp,dns,53,0,1,1,1,1,1,1,0
166,udp,dns,53,0,1,1,1,1,1,1,0
167,tcp,,3306,0,1,1,1,1,1,1,1
168,udp,dns,53,0,1,1,1,1,1,1,0
169,udp,dns,53,0,1,1,1,1,1,1,0
170,tcp,,443,0,1,1,1,1,1,1,1
171,tcp,,443,0,1,1,1,1,1,1,1
172,udp,quic,443,0,1,1,1,1,1,1,1
173,,,443,,1,1,1,1,1,1,1
174,tcp,,8081,0,1,1,1,1,1,1,1
175,tcp,,37094,0,1,1,1,1,1,1,1
176,udp,dns,53,0,1,1,1,1,1,1,0
177,udp,dns,53,0,1,1,1,1,1,1,0
178,tcp,,9092,0,1,1,1,1,1,1,1
179,udp,dns,53,0,1,1,1,1,1,1,0
180,udp,dns,53,0,1,1,1,1,1,1,0
181,udp,dns,53,0,1,1,1,1,1,1,0
182,udp,dns,53,0,1,1,1,1,1,1,0
183,udp,quic,443,0,1,1,1,1,1,1,1
184,tcp,,9092,0,1,1,1,1,1,1,1
185,tcp,,443,0,1,1,1,1,1,1,1
186,tcp,,443,0,1,1,1,1,1,1,1
187,tcp,ssl,443,0,1,1,1,1,1,1,1
188,,,443,,0,1,1,1,1,1,0
189,tcp,,34984,0,1,1,1,1,1,1,1
190,tcp,,50912,0,1,1,1,1,1,1,1
191,tcp,,50960,0,1,1,1,1,1,1,1
192,tcp,,50872,0,1,1,1,1,1,1,1
193,tcp,,443,0,1,1,1,1,1,1,1
194,tcp,,443,0,1,1,1,1,1,1,1
195,tcp,,42773,0,1,1,1,1,1,1,1
196,udp,quic,443,0,1,1,1,1,1,1,1
197,tcp,,58768,0,1,1,1,1,1,1,1
198,tcp,,45903,0,1,1,1,1,1,1,1
199,tcp,,443,0,1,1,1,1,1,1,1
200,tcp,,443,0,1,1,1,1,1,1,1
201,tcp,,443,0,1,1,1,1,1,1,1
202,tcp,,3306,0,1,1,1,1,1,1,1
203,tcp,,8081,0,1,1,1,1,1,1,1
204,tcp,,27017,0,1,1,1,1,1,1,1
205,udp,quic,443,0,1,1,1,1,1,1,1
206,udp,dns,53,0,1,1,1,1,1,1,0
207,udp,dns,53,0,1,1,1,1,1,1,0
208,udp,dns,53,0,1,1,1,1,1,1,0
209,udp,dns,53,0,1,1,1,1,1,1,0
210,udp,dns,53,0,1,1,1,1,1,1,0
211,udp,dns,53,0,1,1,1,1,1,1,0
212,udp,dns,53,0,1,1,1,1,1,1,0
213,udp,dns,53,0,1,1,1,1,1,1,0
214,udp,dns,53,0,1,1,1,1,1,1,0
215,udp,dns,53,0,1,1,1,1,1,1,0
216,udp,dns,53,0,1,1,1,1,1,1,0
217,udp,dns,53,0,1,1,1,1,1,1,0
218,udp,dns,53,0,1,1,1,1,1,1,0
219,udp,dns,53,0,1,1,1,1,1,1,0
220,udp,dns,53,0,1,1,1,1,1,1,0
221,udp,dns,53,0,1,1,1,1,1,1,0
222,udp,dns,53,0,1,1,1,1,1,1,0
223,udp,dns,53,0,1,1,1,1,1,1,0
224,udp,dns,53,0,1,1,1,1,1,1,0
225,udp,dns,53,0,1,1,1,1,1,1,0
226,udp,dns,53,0,1,1,1,1,1,1,0
227,udp,dns,53,0,1,1,1,1,1,1,0
228,udp,dns,53,0,1,1,1,1,1,1,0
229,udp,dns,53,0,1,1,1,1,1,1,0
230,udp,dns,53,0,1,1,1,1,1,1,0
231,udp,dns,53,0,1,1,1,1,1,1,0
232,udp,dns,53,0,1,1,1,1,1,1,0
233,udp,dns,53,0,1,1,1,1,1,1,0
234,udp,dns,53,0,1,1,1,1,1,1,0
235,udp,dns,53,0,1,1,1,1,1,1,0
236,udp,quic,443,0,1,1,1,1,1,1,1
237,,,443,,0,1,0,1,1,1,0
238,udp,dns,53,0,1,1,1,1,1,1,0
239,udp,dns,53,0,1,1,1,1,1,1,0
240,udp,dns,53,0,1,1,1,1,1,1,0
241,udp,dns,53,0,1,1,1,1,1,1,0
242,tcp,ssl,443,2800,1,1,1,1,1,1,0
243,udp,quic,443,0,1,1,1,1,1,1,1
244,udp,quic,443,0,1,1,1,1,1,1,1
245,,,443,,1,1,1,1,1,1,1
246,,,443,,1,1,1,1,1,1,1
247,udp,dns,53,0,1,1,1,1,1,1,0
248,tcp,http,80,0,1,1,1,1,1,1,1
249,,,80,,0,1,1,1,1,1,0
250,tcp,,443,0,1,1,1,1,1,1,1
251,tcp,,443,0,1,1,1,1,1,1,1
252,udp,dns,53,0,1,1,1,1,1,1,0
253,udp,dns,53,0,1,1,1,1,1,1,0
254,udp,dns,53,0,1,1,1,1,1,1,0
255,udp,dns,53,0,1,1,1,1,1,1,0
256,udp,quic,443,0,1,1,1,1,1,1,1
257,tcp,ssl,443,0,1,1,1,1,1,1,1
258,tcp,ssl,443,0,1,1,1,1,1,1,1
259,udp,quic,443,0,1,1,1,1,1,1,1
260,,,443,,1,1,1,1,1,1,1
261,,,443,,0,1,0,1,1,1,0
262,,,443,,0,1,0,1,1,1,0
263,udp,dns,53,0,1,1,1,1,1,1,0
264,udp,quic,443,0,1,1,1,1,1,1,1
265,,,443,,0,1,0,1,1,1,0
266,tcp,http,80,0,1,1,1,1,1,1,1
267,tcp,http,80,0,1,1,1,1,1,1,1
268,,,80,,0,1,1,1,1,1,0
269,,,80,,0,1,1,1,1,1,0
270,udp,dns,53,0,1,1,1,1,1,1,0
